smiles_1,smiles_2,smiles_3,label_1_proba,label_2_proba,label_3_proba,label_1_rank,label_2_rank,label_3_rank
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,CNC12CC3CC(CC(C3)C1)C2,tensor(0.3467),tensor(0.3254),tensor(0.3279),tensor(3),tensor(1),tensor(2)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,OCCN=c1[nH]c(=NCc2ccccc2)[nH]c2ccsc12,tensor(0.3475),tensor(0.3261),tensor(0.3264),tensor(3),tensor(1),tensor(2)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,N=C(N)CN1CCCC1c1nc(-c2ccc(Cl)c(Cl)c2)no1,tensor(0.3473),tensor(0.3260),tensor(0.3267),tensor(3),tensor(1),tensor(2)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,COc1ccc(N=c2[nH]cnc(=N)[nH]2)cc1F,tensor(0.3477),tensor(0.3263),tensor(0.3260),tensor(3),tensor(2),tensor(1)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,Cc1c[nH]c2ncnc(N3CCC(OC(=O)N4CCN(C5CCCCC5)CC4)C3)c12,tensor(0.3413),tensor(0.3203),tensor(0.3385),tensor(3),tensor(1),tensor(2)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,COc1c(Cl)cccc1N=c1[nH]cc(NC(=O)C2CC2C)c(=O)n1Cc1ccc(Cl)cc1,tensor(0.3477),tensor(0.3264),tensor(0.3259),tensor(3),tensor(2),tensor(1)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,CC12CCC(=O)NC(=O)C1CCC1C2CCC1(C)C1(C)Cc2C=CC(=O)C1(C)CCC(=O)C2,tensor(0.3462),tensor(0.3249),tensor(0.3289),tensor(3),tensor(1),tensor(2)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,O=C(O)c1cc(O)c(C(=O)c2c[nH]c3ccccc23)cc1O,tensor(0.3471),tensor(0.3257),tensor(0.3272),tensor(3),tensor(1),tensor(2)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,O=C1C(=Cc2ccc(F)cc2)SC(=Nc2ccc(Br)cc2)N1CCN1CCOCC1,tensor(0.3424),tensor(0.3213),tensor(0.3363),tensor(3),tensor(1),tensor(2)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,COc1ccc(C=C(C#N)c2cccc3ccccc23)cc1O,tensor(0.3478),tensor(0.3264),tensor(0.3257),tensor(3),tensor(2),tensor(1)
CN(C)c1c(Cc2ccc(OCC3C(=O)CCN3C)cc2)c(C(F)(F)F)nn1-c1ccc(Cl)cc1,NC(=O)c1cc(Cl)cc2nc(-c3ccc[nH]c3=O)n(C3CCC3)c12,CC(C=CC1=C(C)CCCC1(C)C)=CC=C1C(C)C2OC(=O)C(Br)(Br)C2(O)C1C,tensor(0.3464),tensor(0.3251),tensor(0.3286),tensor(3),tensor(1),tensor(2)
